ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
18551,PSHM,5700,501,Lecture,3,Mark Erath,We 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Economics and Finance of Health Care,,Open,0,25,0
18552,PSLP,5330,701,Lecture,3,John McCarthy,Mo 2:14am - 2:15am,Web-Based Course-No class mtgs,Communication and Team Development,,Open,0,24,0
18553,PSLP,5340,701,Lecture,3,Wendy Achilles,Mo 2:16am - 2:17am,Web-Based Course-No class mtgs,Financial Management for Leaders,,Open,0,24,0
18554,PSMT,6020,701,Lecture,3,John Duffy,Th 7:00pm - 10:00pm,Web-Based Course-No class mtgs,Strategic Database Marketing,,Open,0,24,0
18555,PSMT,6070,701,Lecture,3,Kay Green,We 7:00pm - 10:00pm,Web-Based Course-No class mtgs,Social & New Media Digital Marketing,,Open,0,24,0
18556,PSPA,5020,701,Lecture,3,Celeste Greene,Mo 2:10am - 2:11am,Web-Based Course-No class mtgs,Public Organization Management,,Open,0,24,0
18557,PSPA,5030,701,Lecture,3,John Dunning,Mo 2:12am - 2:13am,Web-Based Course-No class mtgs,Public Budgeting and Financial Management,,Open,0,24,0
18558,PSPM,5030,701,Lecture,3,Edward Kropp,Mo 3:24am - 3:25am,Web-Based Course-No class mtgs,Introduction to Project Management,,Open,0,24,0
18559,PSPM,5210,701,Lecture,3,Michael Powers,Mo 3:26am - 3:27am,Web-Based Course-No class mtgs,Project Risk Management,,Open,0,24,0
18560,PSPM,5290,701,Lecture,3,Susan Parente,Mo 3:28am - 3:29am,Web-Based Course-No class mtgs,Principles and Practices of Agile Project Management,,Open,0,24,0
10470,PST,4870,1,SEM,3,Michael Smith,Tu 3:30pm - 6:00pm,Gibson Hall 141,Core Seminar in Political and Social Thought II,,Open,10,25,0
10744,PST,4989,1,SEM,2,Michael Smith,Th 4:30pm - 6:00pm,Gibson Hall 141,Workshop in Thesis Research,,Open,6,25,0
10746,PST,4993,1,IND,3,Michael Smith,TBA,TBA,Independent Study in Poltical & Social Thought,,Open,0,25,0
10745,PST,4999,1,SEM,6,Michael Smith,TBA,TBA,Thesis in Political and Social Thought,,Open,6,25,0
10471,PSYC,1010,1,Lecture,3,Christopher Mazurek,TuTh 9:30am - 10:45am,McLeod Hall 1020,Introductory Psychology,,Open,9,340,0
10474,PSYC,2005,1,Lecture,3,Frederick Smyth,MoWeFr 1:00pm - 1:50pm,Maury Hall 209,Research Methods and Data Analysis I,,Open,5,150,0
13478,PSYC,2005,2,Lecture,3,James Morris,MoWe 2:00pm - 3:15pm,Clark Hall 108,Research Methods and Data Analysis I,,Open,17,150,0
13451,PSYC,2150,1,Lecture,3,Daniel Willingham,TuTh 11:00am - 12:15pm,McLeod Hall 1020,Introduction to Cognition,,Open,57,320,0
12779,PSYC,2200,1,Lecture,3,Erin Clabough,MoWeFr 10:00am - 10:50am,Physics Bldg 204,A Survey of the Neural Basis of Behavior,,Open,58,100,0
12053,PSYC,2410,1,Lecture,3,Erin Horn,TuTh 5:00pm - 6:15pm,Chemistry Bldg 402,Abnormal Psychology,,Open,78,350,0
10473,PSYC,2600,1,Lecture,3,Timothy Wilson,TuTh 3:30pm - 4:45pm,Maury Hall 209,Introduction to Social Psychology,,Open,16,300,0
12052,PSYC,2600,2,Lecture,3,Christopher Mazurek,TuTh 2:00pm - 3:15pm,Physics Bldg 203,Introduction to Social Psychology,,Open,28,150,0
10472,PSYC,2700,1,Lecture,3,Angeline Lillard,MoWe 2:00pm - 3:15pm,Chemistry Bldg 402,Introduction to Child Psychology,,Open,62,350,0
13477,PSYC,3006,1,Lecture,4,M. Joseph Meyer,MoWeFr 3:30pm - 5:20pm,Gilmer Hall 190,Research Methods and Data Analysis II,,Open,14,75,0
10475,PSYC,3006,2,Lecture,4,Karen Schmidt,MoWeFr 10:00am - 10:50am,Wilson Hall 325,Research Methods and Data Analysis II,,Open,10,75,0
